UKPRN,providerName,Region,subject,sex,yearsAfterGraduation,grads,unmatched,matched,activityNotCaptured,noSustDest,sustEmpOnly,sustEmp,sustEmpFSorBoth,earningsInclude,lowerAnnEarn,medianAnnEarn,upperAnnEarn,POLARGrpOne,POLARGrpOneIncluded,prAttBand,prAttIncluded
10000291,Anglia Ruskin University,East,Agriculture & related subjects,Female,1,30,x,x,x,x,x,x,x,20,9300,14400,19500,x,x,x,x
10007759,Aston University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000571,Bath Spa University,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007850,The University of Bath,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007152,University of Bedfordshire,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007760,Birkbeck College,London,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007140,Birmingham City University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006840,The University of Birmingham,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000712,University College Birmingham,West Midlands,Agriculture & related subjects,Female,1,35,0,35,x,x,x,x,83.8,20,17300,18700,20600,x,x,2,75.7
10007811,Bishop Grosseteste University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006841,The University of Bolton,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000385,The Arts University Bournemouth,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000824,Bournemouth University,South West,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,20,10200,13300,15200,x,x,x,x
10007785,The University of Bradford,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000886,The University of Brighton,South East,Agriculture & related subjects,Female,1,15,0,15,x,x,x,x,70.6,x,x,x,x,x,x,2,29.4
10007786,The University of Bristol,South West,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000961,Brunel University London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000975,Buckinghamshire New University,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007787,The University of Buckingham,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007788,The University of Cambridge,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003324,The Institute of Cancer Research,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001143,Canterbury Christ Church University,South East,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007141,The University of Central Lancashire,North West,Agriculture & related subjects,Female,1,60,0,60,x,x,x,x,85,40,10300,14600,18700,x,x,2,36.7
10007848,University of Chester,North West,Agriculture & related subjects,Female,1,60,2.7,60,x,x,x,x,76.3,40,10100,12300,14500,x,x,2,42.8
10007137,The University of Chichester,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001478,The City University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001653,Conservatoire for Dance and Drama,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007761,Courtauld Institute of Art,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001726,Coventry University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007822,Cranfield University,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006427,University for the Creative Arts,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007842,University of Cumbria,North West,Agriculture & related subjects,Female,1,25,0,25,x,x,x,x,89.8,15,8800,10600,13800,x,x,2,40.8
10001883,De Montfort University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007851,University of Derby,East Midlands,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007143,University of Durham,North East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007789,The University of East Anglia,East,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007144,The University of East London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007823,Edge Hill University,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007791,The University of Essex,East,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007792,The University of Exeter,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10008640,Falmouth University,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004511,The National Film and Television School,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007145,University of Gloucestershire,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10002718,Goldsmiths College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007146,The University of Greenwich,London,Agriculture & related subjects,Female,1,60,0,60,6.7,16.7,x,x,76.7,35,12000,14600,17300,13.3,50,3,23.3
10007825,Guildhall School of Music and Drama,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10040812,Harper Adams University,West Midlands,Agriculture & related subjects,Female,1,150,0.7,145,3.4,6.8,76.9,86.4,89.8,110,14500,19200,22500,5.8,81.6,2,57.1
10007147,University of Hertfordshire,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007765,Heythrop College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007148,The University of Huddersfield,Yorkshire and the Humber,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007149,The University of Hull,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003270,Imperial College of Science Technology and Medicine,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007767,The University of Keele,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007150,The University of Kent,South East,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,15,11200,16800,21400,x,x,x,x
10003645,King's College London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003678,Kingston University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007768,The University of Lancaster,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003854,Leeds College of Art,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003861,Leeds Beckett University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007795,The University of Leeds,Yorkshire and the Humber,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,15,19500,24700,25900,x,x,x,x
10003863,Leeds Trinity University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007796,The University of Leicester,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007151,The University of Lincoln,East Midlands,Agriculture & related subjects,Female,1,85,0,85,x,x,x,x,88.1,65,10600,15400,20300,x,x,2,47.6
10003956,Liverpool Hope University,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003957,Liverpool John Moores University,North West,Agriculture & related subjects,Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10003945,The Liverpool Institute for Performing Arts,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006842,The University of Liverpool,North West,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007162,University of the Arts London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007769,London Business School,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007797,University of London (Institutes and activities),London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004048,London Metropolitan University,London,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004078,London South Bank University,London,Agriculture & related subjects,Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004063,London School of Economics and Political Science,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007771,London School of Hygiene and Tropical Medicine,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004113,Loughborough University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004180,The Manchester Metropolitan University,North West,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007798,The University of Manchester,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004351,Middlesex University,London,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,15,17500,18900,22700,x,x,x,x
10007799,University of Newcastle-upon-Tyne,North East,Agriculture & related subjects,Female,1,25,0,25,x,x,x,x,82.6,15,14000,16200,22100,x,x,1,82.6
10007832,Newman University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007138,The University of Northampton,East Midlands,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,15,14700,16700,18000,x,x,x,x
10001282,University of Northumbria at Newcastle,North East,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004775,Norwich University of the Arts,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007154,University of Nottingham,East Midlands,Agriculture & related subjects,Female,1,35,0,35,x,x,x,x,86.7,15,18200,19200,22500,x,x,1,82.9
10004797,The Nottingham Trent University,East Midlands,Agriculture & related subjects,Female,1,125,0,125,11.2,8.8,x,x,80,75,10000,13800,17400,15.1,74.4,2,52
10007773,The Open University in England16,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004930,Oxford Brookes University,South East,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007774,The University of Oxford,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005127,Plymouth College of Art,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007801,University of Plymouth,South West,Agriculture & related subjects,Female,1,35,x,x,x,x,x,x,x,20,12000,13800,15100,x,x,x,x
10007155,The University of Portsmouth,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007775,Queen Mary University of London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005389,Ravensbourne,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007802,The University of Reading,South East,Agriculture & related subjects,Female,1,45,0,45,x,x,x,x,77.2,30,16500,20000,23900,x,x,1,71.7
10007776,Roehampton University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005523,Rose Bruford College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007835,Royal Academy of Music,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005545,Royal Agricultural University,South West,Agriculture & related subjects,Female,1,65,0,65,x,x,x,x,80.4,35,11300,17600,20300,x,x,2,61.3
10007777,Royal College of Art,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007778,Royal College of Music,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007816,The Royal Central School of Speech and Drama,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005553,Royal Holloway and Bedford New College,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007837,Royal Northern College of Music,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007779,The Royal Veterinary College,London,Agriculture & related subjects,Female,1,55,0,55,x,x,45.3,69.8,90.6,25,12600,17300,21600,x,x,1,81.1
10007782,St George's Hospital Medical School,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007843,St Mary's University Twickenham,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007156,The University of Salford,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007780,The School of Oriental and African Studies,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005790,Sheffield Hallam University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,35,x,x,x,x,x,x,x,25,19200,24700,26100,x,x,x,x
10007157,The University of Sheffield,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006022,Southampton Solent University,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007158,The University of Southampton,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006299,Staffordshire University,West Midlands,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10037449,University of St Mark and St John,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10014001,University Campus Suffolk,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007159,The University of Sunderland,North East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007160,The University of Surrey,South East,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007806,The University of Sussex,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007161,Teesside University,North East,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10008017,Trinity Laban Conservatoire of Music and Dance,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007784,University College London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007163,The University of Warwick,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007164,University of the West of England Bristol,South West,Agriculture & related subjects,Female,1,140,0.5,140,x,x,x,x,80.1,80,11500,15500,19000,x,x,2,48.1
10006566,The University of West London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007165,The University of Westminster,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003614,The University of Winchester,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007166,The University of Wolverhampton,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007139,University of Worcester,West Midlands,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007657,Writtle College,East,Agriculture & related subjects,Female,1,95,1,95,8.3,14.6,x,x,77.1,65,8900,15300,19400,x,x,3,45.8
10007713,York St John University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007167,The University of York,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007856,Aberystwyth University,Wales,Agriculture & related subjects,Female,1,50,2,50,6.1,14.2,x,x,79.7,20,8500,12500,15100,x,x,.,.
10007857,Bangor University,Wales,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,..,..
10007814,Cardiff University,Wales,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007854,Cardiff Metropolitan University,Wales,Agriculture & related subjects,Female,1,20,9.8,20,x,x,x,x,64.9,x,x,x,x,x,x,.,.
10007833,Glynd?r University,Wales,Agriculture & related subjects,Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,.,.
10007855,Swansea University,Wales,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007858,University of Wales Trinity Saint David,Wales,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,..,..
10007793,University of South Wales,Wales,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10008574,University of Wales (central functions),Wales,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007783,The University of Aberdeen,Scotland,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10007849,University of Abertay Dundee,Scotland,Agriculture & related subjects,Female,1,30,x,x,x,x,x,x,x,15,10200,17500,21400,..,..,.,.
10007852,The University of Dundee,Scotland,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10007772,Edinburgh Napier University,Scotland,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,20,17000,18200,19600,..,..,.,.
10007790,The University of Edinburgh,Scotland,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10007762,Glasgow Caledonian University,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10002681,Glasgow School of Art,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007794,The University of Glasgow,Scotland,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10007764,Heriot-Watt University,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005337,Queen Margaret University Edinburgh,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005500,The Robert Gordon University,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005561,Royal Conservatoire of Scotland,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007803,The University of St Andrews,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005700,SRUC,Scotland,Agriculture & related subjects,Female,1,15,0,15,x,x,x,x,85.7,x,x,x,x,..,..,.,.
10007804,The University of Stirling,Scotland,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10007805,The University of Strathclyde,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007114,University of the Highlands and Islands,Scotland,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,..,..,.,.
10007800,The University of the West of Scotland,Scotland,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000291,Anglia Ruskin University,East,Architecture building & planning,Female,1,25,0,25,x,x,x,x,88.5,20,27200,33600,40600,x,x,2,30.8
10007759,Aston University,West Midlands,Architecture building & planning,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000571,Bath Spa University,South West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007850,The University of Bath,South West,Architecture building & planning,Female,1,40,0,40,x,x,28.2,53.8,94.9,10,16800,20500,23100,x,x,1,61.5
10007152,University of Bedfordshire,East,Architecture building & planning,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007760,Birkbeck College,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007140,Birmingham City University,West Midlands,Architecture building & planning,Female,1,60,4.9,60,x,x,74.1,79.3,84.5,40,16900,23200,29400,x,x,2,32.8
10006840,The University of Birmingham,West Midlands,Architecture building & planning,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000712,University College Birmingham,West Midlands,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007811,Bishop Grosseteste University,East Midlands,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006841,The University of Bolton,North West,Architecture building & planning,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000385,The Arts University Bournemouth,South West,Architecture building & planning,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000824,Bournemouth University,South West,Architecture building & planning,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007785,The University of Bradford,Yorkshire and the Humber,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000886,The University of Brighton,South East,Architecture building & planning,Female,1,30,0,30,x,x,x,x,92.9,20,11400,16400,18200,x,x,1,85.7
10007786,The University of Bristol,South West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000961,Brunel University London,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000975,Buckinghamshire New University,South East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007787,The University of Buckingham,South East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007788,The University of Cambridge,East,Architecture building & planning,Female,1,25,0,25,x,x,x,x,82.7,15,21800,26400,30200,x,x,1,82.7
10003324,The Institute of Cancer Research,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001143,Canterbury Christ Church University,South East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007141,The University of Central Lancashire,North West,Architecture building & planning,Female,1,20,4.6,20,x,x,x,x,90.3,10,9100,17400,22200,x,x,2,57.3
10007848,University of Chester,North West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007137,The University of Chichester,South East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001478,The City University,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001653,Conservatoire for Dance and Drama,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007761,Courtauld Institute of Art,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001726,Coventry University,West Midlands,Architecture building & planning,Female,1,15,0,15,x,x,x,x,69.2,x,x,x,x,x,x,2,38.5
10007822,Cranfield University,East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006427,University for the Creative Arts,South East,Architecture building & planning,Female,1,10,0,10,x,x,x,x,81.8,x,x,x,x,x,x,3,54.5
10007842,University of Cumbria,North West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001883,De Montfort University,East Midlands,Architecture building & planning,Female,1,35,2.8,35,x,x,51.4,65.7,80,15,18800,22600,24600,x,x,2,65.7
10007851,University of Derby,East Midlands,Architecture building & planning,Female,1,20,0,20,x,x,x,x,89.1,15,8200,14000,24500,x,x,3,40.9
10007143,University of Durham,North East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007789,The University of East Anglia,East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007144,The University of East London,London,Architecture building & planning,Female,1,20,0,20,x,x,x,x,68.4,x,x,x,x,x,x,3,31.6
10007823,Edge Hill University,North West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007791,The University of Essex,East,Architecture building & planning,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007792,The University of Exeter,South West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10008640,Falmouth University,South West,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004511,The National Film and Television School,South East,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007145,University of Gloucestershire,South West,Architecture building & planning,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10002718,Goldsmiths College,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007146,The University of Greenwich,London,Architecture building & planning,Female,1,50,0,50,22.9,16.7,45.8,52.1,60.4,15,18700,22800,30100,19,43.8,3,39.6
10007825,Guildhall School of Music and Drama,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10040812,Harper Adams University,West Midlands,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007147,University of Hertfordshire,East,Architecture building & planning,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007765,Heythrop College,London,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007148,The University of Huddersfield,Yorkshire and the Humber,Architecture building & planning,Female,1,20,0,20,x,x,20,60,95,x,x,x,x,27.3,55,1,35
10007149,The University of Hull,Yorkshire and the Humber,Architecture building & planning,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
